type_name,time_seconds,team_id,player_id,outcome,timestamp,minute,second,qualifier,period_id,team,game_id,start_x,start_y,position,related_x,related_y,related_id
Play_Pass,2521.364,DFL-CLU-00000G,DFL-OBJ-0000IA,,2023-05-27 16:12:13.594000+02:00,42.0,1.0,"{'SemiField': 'false', 'Player': 'DFL-OBJ-0000IA', 'Team': 'DFL-CLU-00000G', 'FromOpenPlay': 'true', 'PenaltyBox': 'false', 'FlatCross': 'false', 'Height': 'flat', 'Distance': 'short', 'PlayOrigin': 'oppositionHalf', 'PlayAngle': '186.71', 'Recipient': 'DFL-OBJ-J01APO', 'BallPossessionPhase': '811', 'Evaluation': 'successfullyCompleted', 'FreeKickLayup': 'false'}",1,Away,DFL-MAT-J03WMX,71.1400016,65.6899936,ZO,64.5000032,63.7499984,DFL-OBJ-J01APO
Play_Pass,2525.114,DFL-CLU-00000G,DFL-OBJ-J01APO,,2023-05-27 16:12:17.344000+02:00,42.0,5.0,"{'SemiField': 'false', 'Player': 'DFL-OBJ-J01APO', 'Team': 'DFL-CLU-00000G', 'FromOpenPlay': 'true', 'PenaltyBox': 'false', 'FlatCross': 'false', 'Height': 'flat', 'Distance': 'short', 'PlayOrigin': 'oppositionHalf', 'PlayAngle': '69.31', 'Recipient': 'DFL-OBJ-0026PM', 'BallPossessionPhase': '813', 'Evaluation': 'successfullyCompleted', 'FreeKickLayup': 'false'}",1,Away,DFL-MAT-J03WMX,67.4500072,66.3000168,LV,73.1,54.9000432,DFL-OBJ-0026PM
OtherBallAction,2525.87,DFL-CLU-00000G,DFL-OBJ-0026PM,,2023-05-27 16:12:18.100000+02:00,42.0,5.0,"{'Player': 'DFL-OBJ-0026PM', 'Team': 'DFL-CLU-00000G', 'BallPossessionPhase': '814'}",1,Away,DFL-MAT-J03WMX,71.920028,51.860056,OLM,,,
TacklingGame,2527.341,DFL-CLU-00000G,DFL-OBJ-0026PM,1.0,2023-05-27 16:12:19.571000+02:00,42.0,7.0,"{'WinnerTeam': 'DFL-CLU-000008', 'Winner': 'DFL-OBJ-002G4A', 'WinnerRole': 'withoutBallControl', 'PossessionChange': 'true', 'GoalKeeperInvolved': 'false', 'Loser': 'DFL-OBJ-0026PM', 'LoserRole': 'withBallControl', 'WinnerResult': 'ballClaimed', 'LoserTeam': 'DFL-CLU-00000G', 'Type': 'ground'}",1,Away,DFL-MAT-J03WMX,70.12001520000001,50.010000000000005,OLM,71.68000760000001,50.8200152,DFL-OBJ-002G4A
OtherBallAction,2527.912,DFL-CLU-000008,DFL-OBJ-002G4A,,2023-05-27 16:12:20.142000+02:00,42.0,7.0,"{'Player': 'DFL-OBJ-002G4A', 'Team': 'DFL-CLU-000008', 'BallPossessionPhase': '815'}",1,Home,DFL-MAT-J03WMX,71.31001280000001,50.3100224,DML,,,
Play_Pass,2529.945,DFL-CLU-000008,DFL-OBJ-0027AX,,2023-05-27 16:12:22.175000+02:00,42.0,9.0,"{'SemiField': 'false', 'Player': 'DFL-OBJ-0027AX', 'Team': 'DFL-CLU-000008', 'FromOpenPlay': 'true', 'PenaltyBox': 'false', 'FlatCross': 'false', 'Height': 'flat', 'Distance': 'medium', 'PlayOrigin': 'ownHalf', 'PlayAngle': '347.83', 'Recipient': 'DFL-OBJ-000270', 'BallPossessionPhase': '817', 'Evaluation': 'successfullyCompleted', 'FreeKickLayup': 'false', 'OneTwo': 'firstPasser'}",1,Home,DFL-MAT-J03WMX,55.440101999999996,53.33988600000001,ZO,53.25003,42.07006,DFL-OBJ-000270
Play_Pass,2532.552,DFL-CLU-000008,DFL-OBJ-000270,,2023-05-27 16:12:24.782000+02:00,42.0,12.0,"{'SemiField': 'false', 'Player': 'DFL-OBJ-000270', 'Team': 'DFL-CLU-000008', 'FromOpenPlay': 'true', 'PenaltyBox': 'false', 'FlatCross': 'false', 'Height': 'high', 'Distance': 'short', 'PlayOrigin': 'ownHalf', 'PlayAngle': '92.85', 'Recipient': 'DFL-OBJ-0027AX', 'BallPossessionPhase': '818', 'Evaluation': 'successfullyCompleted', 'FreeKickLayup': 'false', 'OneTwo': 'secondPasser'}",1,Home,DFL-MAT-J03WMX,45.6700416,41.4599776,STZ,48.7900256,58.6000256,DFL-OBJ-0027AX
Play_Pass,2533.625,DFL-CLU-000008,DFL-OBJ-0027AX,,2023-05-27 16:12:25.855000+02:00,42.0,13.0,"{'SemiField': 'false', 'Player': 'DFL-OBJ-0027AX', 'Team': 'DFL-CLU-000008', 'FromOpenPlay': 'true', 'PenaltyBox': 'false', 'FlatCross': 'false', 'Height': 'flat', 'Distance': 'medium', 'PlayOrigin': 'ownHalf', 'PlayAngle': '2.73', 'Recipient': 'DFL-OBJ-J01APO', 'BallPossessionPhase': '819', 'Evaluation': 'unsuccessful', 'FreeKickLayup': 'false'}",1,Home,DFL-MAT-J03WMX,47.460018,55.740078,ZO,49.310024,58.549982,DFL-OBJ-J01APO
OtherBallAction,2534.623,DFL-CLU-00000G,DFL-OBJ-J01APO,,2023-05-27 16:12:26.853000+02:00,42.0,14.0,"{'Player': 'DFL-OBJ-J01APO', 'Team': 'DFL-CLU-00000G', 'BallPossessionPhase': '820'}",1,Away,DFL-MAT-J03WMX,48.000034,59.1899796,LV,,,
Delete,2534.953,,,,2023-05-27 16:12:27.183000+02:00,42.0,14.0,{},1,Home,DFL-MAT-J03WMX,,,,,,
Delete,2534.953,,,,2023-05-27 16:12:27.183000+02:00,42.0,14.0,{},1,Away,DFL-MAT-J03WMX,,,,,,
Play_Pass,2536.365,DFL-CLU-00000G,DFL-OBJ-0002F5,,2023-05-27 16:12:28.595000+02:00,42.0,16.0,"{'SemiField': 'false', 'Player': 'DFL-OBJ-0002F5', 'Team': 'DFL-CLU-00000G', 'FromOpenPlay': 'true', 'PenaltyBox': 'false', 'FlatCross': 'false', 'Height': 'flat', 'Distance': 'short', 'PlayOrigin': 'ownHalf', 'PlayAngle': '96.79', 'Recipient': 'DFL-OBJ-0027KL', 'BallPossessionPhase': '822', 'Evaluation': 'successfullyCompleted', 'FreeKickLayup': 'false'}",1,Away,DFL-MAT-J03WMX,32.680008,42.269976,DMR,28.709992,32.839996000000006,DFL-OBJ-0027KL
Play_Pass,2538.1,DFL-CLU-00000G,DFL-OBJ-0027KL,,2023-05-27 16:12:30.330000+02:00,42.0,18.0,"{'SemiField': 'false', 'Player': 'DFL-OBJ-0027KL', 'Team': 'DFL-CLU-00000G', 'FromOpenPlay': 'true', 'PenaltyBox': 'false', 'FlatCross': 'false', 'Height': 'flat', 'Distance': 'short', 'PlayOrigin': 'ownHalf', 'PlayAngle': '30.41', 'Recipient': 'DFL-OBJ-0002F5', 'BallPossessionPhase': '823', 'Evaluation': 'successfullyCompleted', 'FreeKickLayup': 'false'}",1,Away,DFL-MAT-J03WMX,29.270016,31.689928000000002,IVR,34.800031999999995,36.019904000000004,DFL-OBJ-0002F5
Delete,2538.84,,,,2023-05-27 16:12:31.070000+02:00,42.0,18.0,{},1,Home,DFL-MAT-J03WMX,,,,,,
